 Nature	 പ്രകൃതി
Pathanamthitta	പത്തനം
Pathanamthitta	പത്തനംതിട്ട
Ten gold	പത്തരമാറ്റ് സ്വർണ്ണം
Tenth	പത്തവതാരം
Tenth Emergency	പത്താം അടിയന്തിരം
10th class	പത്താം ക്ലാസ്
Tenth type	പത്താം തരം
പത്തായം	പത്തായം
Pathayapura	പത്തായപ്പുര
Room upstairs	പത്തായപ്പുരയുടെ മുകളിലെ മുറി
Ten thousand	പത്തായിരം
പത്തി	പത്തി
Tithing	പത്തിലൊരംശം
Ten crore	പത്തുകോടി
Ten times	പത്തുമടങ്ങ്
Tenth	പത്തേമാരി
Nineteen	പത്തൊന്പത്ട
Pathology	പത്തോളജി
Ten	പത്ത്
Ten crore	പത്ത് കോടി
Ten lakhs	പത്ത് ലക്ഷം
Diet	പത്ഥ്യം
Wife	പത്നി
Padma	പത്മം
Padmaprabha	പത്മപ്രഭ
Padmaragam	പത്മരാഗം
Padmakshan	പത്മാക്ഷന്‍
Padmi	പത്മി
Padmini	പത്മിനി
Padminipathi	പത്മിനീപതി
പത്യോര്	പത്യോര്
Journalists	പത്ര പ്രവർത്തകർ
Newspaper	പത്രം
The newspaper	പത്രന്‍
Journalism	പത്രപ്രവര്ത്തനം
Press burden	പത്രഭാരം
Press chariot	പത്രരഥം
Editor's note	പത്രാധിപരുടെ കുറിപ്പ്
Editorial	പത്രാധിപലേഖനം
Editor	പത്രാധിപർ
Newspaper	പത്രി
Paper	പത്രിക
Press	പത്രീ
Pathari	പഥരി
Patharchur	പഥര്ചൂറ്
Pathoraya	പഥൌരയ
Diet	പഥ്യം
Diet	പഥ്യരഹിതമായ ആഹാരം
Dietary supplement	പഥ്യാദികഷായം
The word	പദം
Phrasal symbol	പദഘടക ചിഹ്നം
Phonology	പദനിസ്വനം
Vocabulary	പദന്വയം
Aberration	പദഭ്രംശം
Walking	പദയാത്ര
Word	പദവല
Status	പദവി
Vocabulary	പദസഞ്ചയം
Army	പദസേന
Phrase	പദാംഗം
Material knowledge	പദാര്ത്ഥ  വിജ്ഞാനം
Matter	പദാര്ത്ഥം
Matter.	പദാര്ത്ഥം.
Vocabulary	പദാവലി
Medal	പദൌക്
Project	പദ്ധതി
Padma	പദ്മം
Padma (Look up the meaning in the sound chart)	പദ്മം(ശബ്ദ താരാവലിയില് ഒന്ന് അര്ഥം നോക്കുക)
Padma Purana	പദ്മപുരാണം
Padmasana	പദ്മാസനം
Padmini	പദ്മിനി
Padmini Ekadashi	പദ്മിനി ഏകാദശി
Padmini Kandak	പദ്മിനി കണ്ടക്
Verse	പദ്യം
Non-verse	പദ്യമല്ലാത്തതു്
Synopsis	പദ്യസംഗ്രഹം
Verse	പധ്യം
Palm	പന
പനംതത്ത	പനംതത്ത
പനങ്കള്ള്	പനങ്കള്ള്
പനങ്ങ	പനങ്ങ
Panaloha	പനലോഹ
Panavalli	പനവള്ളി
Panason	പനസന്‍
Panahara	പനഹര
Panahai	പനഹായി
Panama	പനാമ
Panama City	പനാമ സിറ്റി
Fever	പനി
Fever	പനിക്
Rosemary	പനിനീര്ച്ചെടി
Rose water	പനിനീര്‍
Paneer	പനീര്‍
Panila	പനൈല
Panauti	പനൌട്ടി
പനൌവാ	പനൌവാ
പന്തക്കാരന്	പന്തക്കാരന്
The baton	പന്തടിക്കോല്‍
Betting	പന്തയം
പന്തല്	പന്തല്
പന്തല്ക്കാൻല്	പന്തല്ക്കാൻല്
Pantaloon	പന്തല്‍
The ball	പന്തി
Dinner	പന്തിഭോജനം
Panther / bowler	പന്തെറിയന്/ ബൌളര്
Gardening	പന്തോട്ടം
The ball	പന്ത്
Twelve month old milking cow	പന്ത്രണ്ടുമാസവും കറവയുള്ള പശു
Twelve	പന്ത്രണ്ട്
Twelve inches long / one race	പന്ത്രണ്ട് മുഴം നീളം/ഒരു വംശം
Carrier of tent materials	പന്തൽ സാമഗ്രി ചുമക്കുന്നവന്
path.	പന്ഥാവ്.
Panna	പന്ന
പന്നഗം	പന്നഗം
Pannagasanan	പന്നഗാശനൻ
Twelfth pit	പന്നാം കുഴി
Pig	പന്നി
Piglet	പന്നികുട്ടി
Pancha-Brahma Upanishad	പന്‍ച-ബ്രഹമ ഉപനിഷത്
പപഹ	പപഹ
Papaya	പപൈയ
Pappadam	പപ്പടം
Pappadakam	പപ്പടകം
Pappadi	പപ്പടി
Papaya	പപ്പായ
Papua New Guinea	പപ്പുവ ന്യൂഗിനിയ
Popcorn	പപ്പോട്ടൻ
പബയി	പബയി
Public Service Commission	പബ്ലിക്ക് സര്വീസ് കമ്മിഷന്
Public Private Partnership	പബ്ളിക് പ്രൈവെറ്റ് പാര്ട്ട്ണർഷിപ്പ്
Public Prosecutor	പബ്ളിക് പ്രോസിക്യൂട്ടര്
Public Sector	പബ്ളിക് സെക്റ്റര്
Pamper	പമ്പരം
Pampered	പമ്പരവിഡ്ഢി
Pump	പമ്പ്
Pamman	പമ്മൻ
Legumes	പയറു വര്ഗ്ഗം
Pea.	പയറ്.
Pea	പയറ്‍
Pius	പയസ്
Pius	പയസ്സ്‌
പയിത	പയിത
Useful	പയോജം
പയോധരം	പയോധരം
Boy	പയ്യന്‍
Beans	പയർ
Extraterrestrial access	പരകായ പ്രവേശം
The climax	പരകാഷ്ഠ
Parakoti	പരകോടി
Spreading	പരക്കല്‍
Dependency	പരതന്ത്രത
Spread	പരതൽ
Slander	പരദൂഷണം
Foreigner	പരദേശി
പരന്	പരന്
Flat and thin calf	പരന്ന കനംകുറഞ്ഞ കരു
Flat clay pot	പരന്ന മണ്‍ചട്ടി
Flat nose	പരന്ന മൂക്ക്
Flatulence	പരന്നാഭുക്ക്‌
Paran	പരന്‍
Stranger	പരപുരുഷന്
Heterosexual woman	പരപുരുഷബന്ധമുള്ളസ്ത്രീ
Spread	പരപ്പ്
Spread	പരപ്പ്‌
Parabrahma Upanishad	പരബ്രഹമ ഉപനിഷത്
പരഭണി	പരഭണി
പരഭണിജില്ല	പരഭണിജില്ല
പരഭൃത്⁇	പരഭൃത്‌
Parama Ekadashi	പരമ ഏകാദശി
The ultimate tormentor	പരമ പീഡാസ്ഥാനം
The climax	പരമകാഷ്ഠ
Atmosphere	പരമണ്ഡലം
Paramahamsa-Privrajaka Upanishad	പരമഹംസ -പ്രിവ്രാജക ഉപനിഷത്
പരമഹംസര്	പരമഹംസര്
Paramahamsopanishat	പരമഹംസോപനിഷത്
Is absolute	പരമാണു
Paramatman	പരമാത്മാവു്
Sovereign Court	പരമാധികാരകോടതി
Sovereign.	പരമാധികാരി.
Bliss	പരമാനന്ദം
Sincerely	പരമാര്ത്ഥം
Sincere news	പരമാര്ത്ഥമായ വാര്ത്ത
Maximum change	പരമാവധിമാറ്റം
Series	പരമ്പര
Conservative	പരമ്പരവാദി
Traditional animosity	പരമ്പരാഗതമായിട്ടുള്ള ശത്രുത
പരയി	പരയി
The Hereafter	പരലോകം
Doomsday	പരലോകപ്രാപ്തി
Crystal	പരല്
Carpet	പരവതാനി
Parasurama	പരശുരാമൻ
പരസി	പരസി
Advertising	പരസിയ
Foreign woman	പരസ്ത്രീ
See each other	പരസ്പരം കാണുക
Mutual accusation	പരസ്പരമുള്ള കുറ്റാരോപണം
Calling each other Teri	പരസ്പരമുള്ള തെറി വിളി
Interdependence	പരസ്പരാശ്രയം
Beating each other	പരസ്പ്പരം തല്ലല്‍
Advertising	പരസ്യം
Advertising painter.	പരസ്യങ്ങള്ക്കായി ചിത്രം വരയ്ക്കുന്നവന്.
Billboard	പരസ്യപ്പലക
Advertising	പരസ്യമാകല്
Parakoti	പരാകോടി
Valor	പരാക്രമം
Pollen	പരാഗം
Paraguay	പരാഗ്വേ
Paraguay River	പരാഗ്വേ നദി
Paraguayan	പരാഗ്വേക്കാരന്
Failure	പരാജയം
Failure	പരാജിക
Losers	പരാജിതര്‍
Complaint	പരാതി
Complainant	പരാതിക്കാരന്
Complaint form	പരാതിപത്രം
Parasitic	പരാദഭോജി
Vulnerability	പരാധീനത
Parasite	പരാന്നഭോജി
Defeat	പരാഭവം
Parasite	പരാഭൂതി
Reference	പരാമര്ശം
Reflector	പരാവര്‍ത്തകം
Paravidya	പരാവിദ്യ
Parasi	പരാസി
Paraskandi	പരാസ്കന്ദി
Remedy	പരികരം
Parikarangoor decoration	പരികരാങ്കൂർ അലങ്കാരം
Hypothesis	പരികല്പന
Aspirant	പരികാംക്ഷി
Injury	പരിക്ക്
Injury.	പരിക്ക്.
Orbit	പരിക്രമണം
പരിഖ	പരിഖ
Consideration	പരിഗണന
Understanding	പരിഗ്രഹം
Shield	പരിച
Experience	പരിചയം
Familiar	പരിചയക്കാരന്‍
Inexperience	പരിചയക്കുറവ്
Unfamiliar	പരിചയമില്ലാത്തവൻ
Experience	പരിചയസമ്പന്നത
Care	പരിചരണം
The attendant	പരിചാരകന്
The waitress	പരിചാരിക
Familiar	പരിചിതന്‍
Consideration	പരിചിന്തനം
Circumcision	പരിച്ഛേദനം
Familiarity	പരിഛമ
Generation	പരിജനം
Knowledge	പരിജ്ഞാനം
Consequences	പരിണതഫലം
Evolution	പരിണയം
Evolution	പരിണാമം
Non-evolving	പരിണാമം വരാത്തവ
Pity	പരിതാപം
Pathetic	പരിതാപജന്യം
Abandonment	പരിത്യജനം
Abandonment	പരിത്യാഗം
Parithranam	പരിത്രാണം
Limit	പരിധി
Limit size	പരിധി അളവ്
പരിപണം	പരിപണം
Circumference.	പരിപധം.
പരിപന്തി	പരിപന്തി
Translator	പരിപന്ഥകന്‍
Circumstances	പരിപന്ഥി
Caretaker	പരിപാലകന്
Caretaker	പരിപാലകന്‍
Maintenance	പരിപാലനം
Purification	പരിപാവനം
പരിപിച്ഛ	പരിപിച്ഛ
Nutrition	പരിപോഷണം
Nuts	പരിപ്പ്
Nuts are crossed	പരിപ്പ് കടഞ്ഞത്
Nuts.	പരിപ്പ്.
Pariplava	പരിപ്ളാവ
Condition	പരിബന്ദ്
Fear	പരിഭവം
Translation	പരിഭാഷ
Translator	പരിഭാഷകന്
Translation	പരിഭാഷണം
Translated work	പരിഭാഷപ്പെടുത്തിയ കൃതി
Panic	പരിഭ്രമം
Panic	പരിഭ്രാന്തി
Panic.	പരിഭ്രാന്തി.
Fragrance	പരിമളം
Perfume	പരിമളദ്രവ്യം
Volume	പരിമാണം
The end	പരിമാപം
Unlimited power	പരിമിതമില്ലാത്തബലം
Converging	പരിലസിക്കുന്ന
Conversionist	പരിവര്ത്തന വാദി
Conversion	പരിവര്ത്തനം
Discussion	പരിവാദം
Parivrata Upanishad	പരിവ്രത ഉപനിഷത്
Paris	പരിശ
Excellent	പരിശിഷ്ടം
Coach	പരിശീലകന്
Lack of training	പരിശീലന കുറവ്
Training textbook	പരിശീലന പാഠ പുസ്തകം
Training competition	പരിശീലന മത്സരം
Lack of training	പരിശീലന രാഹിത്യം
Training	പരിശീലനം
Lack of training	പരിശീലനക്കുറവ്
Holy place	പരിശുദ്ധസ്ഥലം
Purity	പരിശുദ്ധി
Impure gold	പരിശുദ്ധിയില്ലാത്ത സ്വര്ണ്ണം
Testing	പരിശോദന
Examiner	പരിശോധകന്
Examiner	പരിശോധകന്‍
Inspection	പരിശോധന
Verification	പരിശോധിച്ചറിയല്‍
Effort	പരിശ്രമം
Lack of effort	പരിശ്രമമില്ലായ്മ
Diligent	പരിശ്രമശാലി
Effort	പരിശ്രമശീലം
Effort	പരിശ്രമിക്കല്‍
Parishad	പരിഷത്ത്
Reform	പരിഷ്കരണം
Reform	പരിഷ്ക്കരണം
Reform	പരിഷ്ക്കാരം
Reformer	പരിഷ്ക്കാരി
പരിഷ്ടോം	പരിഷ്ടോം
Conclusion	പരിസമാപ്തി
Concluded	പരിസമാപ്ത്തി
Premises	പരിസരം
Environment	പരിസ്ഥിതി
Mockery	പരിഹസിക്കല്
Remedial measures	പരിഹാര നടപടികള്
Solution	പരിഹാരം
Remedies	പരിഹാരചികിത്സ
The solution	പരിഹാരമാര്ഗ്ഗം
Ridicule	പരിഹാസം
Laughed	പരിഹാസച്ചിരി
Exam	പരീക്ഷ
Examiner	പരീക്ഷകന്‍
Experimental method	പരീക്ഷണ സമ്പ്രദായം
Experiment	പരീക്ഷണം
Test day	പരീക്ഷണനാളി
Laboratory.	പരീക്ഷണശാല.
Test equipment	പരീക്ഷണോപകരണം
Marks obtained for the examination	പരീക്ഷയ്ക്ക് കിട്ടിയ മാര്ക്ക്
Examination Center	പരീക്ഷാ കേന്ദ്രം
Exam results	പരീക്ഷാഫലം
Candidate	പരീക്ഷാര്ത്ഥി
Testing	പരീക്ഷിക്കല്‍
Tested	പരീക്ഷിത്ത്
Boil	പരു
Rough.	പരുക്കന്.
Injuries	പരുക്കള്
Cotton	പരുത്തി
Cotton garden	പരുത്തി തോട്ടം
Cotton	പരുത്തിക്കുരു
Cotton.	പരുത്തിച്ചെടി.
Cotton cloth	പരുത്തിവസ്ത്രം
Hawk	പരുന്തു്‌
Hawk	പരുന്ത്
Hawk	പരുന്ത്‌
Roughness	പരുപരുപ്പ്
Roughness	പരുമം
Season	പരുവം
Rough	പരുഷം
Parade	പരേഡ്
The departed soul	പരേതാത്മാവു്‌
The ghost	പരേതാത്മാവ്
പരേതി	പരേതി
Benevolence	പരോപകാരം
Benevolent	പരോപകാരി
Philanthropy	പരോപകാരിത
Parnakutiram	പര്ണ്ണകുടീരം
Parnasala	പര്ണ്ണശാല
Veil	പര്ദ
Tour	പര്യങ്കം
Tourist place	പര്യടന സ്ഥലം
Tour	പര്യടനം
Exploration	പര്യന്വേഷണം
Explorer	പര്യവേക്ഷകന്‍
Exploration	പര്യവേക്ഷണം
Travel	പര്യാണം
Adequacy	പര്യാപ്തത
Synonym	പര്യായം
Synonym.	പര്യായം.
Synonym	പര്യായപദം
Consultation	പര്യാലോചന
പര്യുദഞ്ചയം	പര്യുദഞ്ചയം
Parva	പര്വ
Mountain peak	പര്വചതശിഖരം
Mountain hole	പര്വത ദ്വാരം
The mountain	പര്വതം
The land between the mountains	പര്വതങ്ങള്ക്കിടയിലെഭൂമി
Parvatarajan	പര്വതരാജന്
Mountain peak	പര്വതശൃംഗം
Mountaineer	പര്വതാരോഹകന്
Mountaineering	പര്വതാരോഹണം
Parval	പര്വല്
The mountain	പര്വവതം
Mountain Sanu	പര്വ്വത സാനു
Personnel	പര്സലര്
Pursakal	പര്സാകല്‍
Parnakutira	പര്‍ണ്ണകുടീരം
Mountainous region	പര്‍വതമേഘല
tell	പറ
Flying	പറക്കല്
The non-flying bird	പറക്കാത്ത പക്ഷി
Flying saucer	പറക്കും തളിക
Flying vehicle	പറക്കുന്ന വാഹനം
Flying	പറക്കൽ
പറങ്കിപുണ്ണ്	പറങ്കിപുണ്ണ്
Hemorrhoids	പറങ്കിപുണ്ണ് ഉഷ്ണപുണ്ണ്
പറങ്കിമാവ്	പറങ്കിമാവ്
പറങ്കിയണ്ടി.	പറങ്കിയണ്ടി.
പറച്ചില്	പറച്ചില്
And FIG	പറച്ചു നടല്
Telling	പറഞ്ഞുകൊടുക്കല്‍
Stopping	പറഞ്ഞുനിറുത്തൽ
The confirmed woman	പറഞ്ഞുറപ്പിച്ച പെണ്ണ്
Flight	പറത്തല്
Fly	പറത്തുക
Fly	പറപ്പ്
പറമ്പ്	പറമ്പ്
Who says	പറയുന്നവന്
Saying	പറയൽ
birds	പറവ
Paratha	പറാഠ
Transplanting	പറിച്ചു നടീല്‍
Plucking	പറിച്ചെടുക്കൽ
Paradise	പറുദീസ
പട്ടം	പറ്റം
I do not know	പറ്റില്ല
പട്ടുചീട്ട്‌	പറ്റുചീട്ട്‌
പറ്റുവരവുകാരന്	പറ്റുവരവുകാരന്
Book	പറ്റ്പുസ്തകം
Many types of merchandise.	പല ഇനം കച്ചവട സാധനങ്ങള്.
board	പലക
Not planks	പലകപ്പല്ല
Grocery store	പലചരക്കുകട
Grocery store	പലചരക്ക്കട
Grocery	പലചരക്ക്‌
Not many	പലതല്ലാത്ത
Many	പലലം
പലവ്യജ്ഞനങ്ങൾ	പലവ്യജ്ഞനങ്ങള്
Fraudulent trade	പലവ്യഞ്ചന വ്യാപാരം
Grocery store	പലവ്യഞ്ജന കട
Dessert	പലഹാരം
Confectioner	പലഹാരകച്ചവടക്കാരി
Exodus	പലായനം
Palasam	പലാശം
Flaxseed.	പലാശവൃക്ഷം.
Palashi	പലാശി
പലാശു്	പലാശു്
Palimjipull	പലിംജിപുല്ല്
Interest	പലിശ
Interest	പലിശക്കാരന്
The usurer	പലിശക്കാരൻ
Payment of interest	പലിശയ്ക്ക് കൊടുക്കല്
Tooth powder	പല്പ്പൊടി
പല്യങ്കം	പല്യങ്കം
Tooth decay	പല്ല ദ്രവിക്കൽ
പല്ലക്ക്	പല്ലക്ക്
പല്ലക്ക്ചുമക്കുന്നവൻ	പല്ലക്ക്ചുമക്കുന്നവൻ
പല്ലക്ക്⁇	പല്ലക്ക്‌
പല്ലഞ്ചോളം	പല്ലഞ്ചോളം
Pallava dynasty	പല്ലവ രാജവംശം
Pallavam	പല്ലവം
Pallavakam	പല്ലവകം
Pallavi	പല്ലവി
Lizard	പല്ലി
Toothpick	പല്ലിത്തടി
Teething	പല്ലിളിക്കല്
പല്ലിവാഹപുല്ലു	പല്ലിവാഹപുല്ല്
Tooth	പല്ലു
Teeth clenched	പല്ലുകുത്തി
Tooth decay	പല്ലുകൊഴിച്ചിൽ
Tooth decay	പല്ലുകൊഴിയൽ
Tooth whitening	പല്ലുവെളുക്കൽ
Tooth	പല്ലു്
Tooth	പല്ല്
Toothpick	പല്ല് കുത്തുന്നവന്‍
Teeth germination	പല്ല് മുളയ്ക്കല്
Brushing teeth	പല്ല്തേയ്ക്കല്‍
Palwan	പല്വാൻ
Plasma	പളാസ്മ
Crystal	പളുങ്ക്
പള്ള	പള്ള
Groove	പള്ളം
Church	പള്ളി
Church	പള്ളിക്കൂടം
Banana	പഴം
Stale	പഴകിയ
Stale food	പഴകിയ ഭക്ഷണം
Old-fashioned behavior	പഴകിയ സ്വഭാവം
Fruit	പഴക്കുല
പഴങ്കഞ്ഞി	പഴങ്കഞ്ഞി
Legend	പഴങ്കഥ
Knowledge of proverbs	പഴചൊല്ലിലുള്ള അറിവ്
Fruit juice	പഴച്ചാറ്‌
Proverb	പഴഞ്ചൊല്ല്
Orchard	പഴത്തോട്ടം
Fruit juice	പഴനീ‍ര്
Rag	പഴന്തുണി
Rug	പഴന്തുണിവിരിപ്പ്
Old	പഴമ
Proverb	പഴമൊഴി
Old Delhi	പഴയ ദില്ലി
Old cotton	പഴയ പഞ്ഞി
The old days	പഴയകാലം
Old creature	പഴയജീവി
Aging	പഴയതാകൽ
The person who buys the old stuff	പഴയസാധനം വാങ്ങുന്ന ആള്
Old place	പഴയസ്ഥലം
Fruit	പഴസത്ത്
Blame	പഴി
Blamed	പഴി ചുമത്തപ്പെട്ടവന്
പഴുതാര.	പഴുതാര.
Ripe	പഴുത്
Ripe berry	പഴുത്ത കായ
Ripe berry.	പഴുത്ത കായ.
Ripe mango.	പഴുത്ത മാങ്ങ.
Ripe	പഴുത്‌
Boiling	പഴുപ്പിക്കൽ
Cooked stone	പഴുപ്പിച്ച കല്ല്
Pus	പഴുപ്പ്
Pus	പഴുപ്പ്കെട്ടിയവൻ
Pus	പഴുപ്പ്‌
Destruction	പവനാശനം
Powerloom	പവര്ലൂം്
Pavilion	പവലിയന്
Holy	പവിത്രം
Holiness	പവിത്രത
Sanctification	പവിത്രീകരണം
Pavitropana Ekadashi	പവിത്രോപന ഏകാദശി
Coral stone	പവിഴ കല്ല്
Coral	പവിഴം
Coral Island	പവിഴദ്വീപ്
Category	പവർഗ്ഗം
glue	പശ
Glue basket	പശക്കൊട്ട
Adhesive	പശപശപ്പ്
Glue	പശയിടൽ
Adhesive soil	പശയുള്ള മണ്ണു്‌
Hungry	പശി
Sticky	പശിമയുള്ള
Greedy	പശിയുള്ളവന്‍
Cow	പശു
sirloin steak	പശു ഇറച്ചി
Male of the cow breed	പശു വര്ഗ്ഗത്തിലെ ആണ്‍
Cow shop	പശു ശാല
Calf.	പശുക്കിടാവ്.
Calf	പശുക്കുട്ടി
Cowboy	പശുപതി
Cattle keeper	പശുപരിപാലകന്
Cattle keeper	പശുപരിപാലകന്‍
Cow skin	പശുവിന് തുകല്
Cattle	പശുശാല
Pascaruja	പശ്ചരുജ
Background	പശ്ചാത്തലം
Repentance	പശ്ചാത്താപം
West Godavari District	പശ്ചിമ ഗോദാവരി ജില്ല
West Medinipuram	പശ്ചിമ മേദിനിപുരം
West	പശ്ചിമം
Pashto	പശ്തൊ
Pashto	പശ്തോ
Pashmina	പശ്മിനാ
Pashmina Goat	പശ്മീനആട്
പഷണചതുദശി	പഷണചതുദശി
Differentiation	പഷഭേദം
Pahalani	പഹലനി
പഹലഹരി	പഹലഹരി
പഹാടി	പഹാടി
Pa	പാ
Pambada	പാംബാട
Pamwaria	പാംവരിയ
Pamsu	പാംസു
Pamsula	പാംസുല
Unripe grapes	പാക മാകാത്ത മുന്തിരി
Cooked	പാകം
Cooking vessel	പാകം ചെയ്യുന്നതിനുള്ള പാത്രം
Unripe food	പാകപെടുത്താത്ത അന്നം
Pakistan	പാകസ്ഥാനം
Pakari	പാകാരി
Pakasuran	പാകാസുരന്‍
Pakistan	പാകിസ്താന്‍
Pakistan Muslim League	പാകിസ്താന്‍ മുസ്ളീംലീഗ്
Pakistani	പാകിസ്ഥാനി
Pakistan	പാകിസ്ഥാന്
To pack	പാക്കാന്‍
Pakistani Rs	പാക്കിസ്താനി രൂപ
Pak	പാക്ക്
Pack	പാക്ക്‌
Pagapanam	പാഗപനം
Cooking oil	പാചക എണ്ണ
Cooking gas	പാചക വാതകം
Cooking	പാചകം
Chef	പാചകകാരൻ
The cook	പാചകക്കാരന്‍
Cook	പാചകന്
Recipe	പാചകരീതി
Kitchen	പാചകശാല
Culinary	പാചകശാസ്ത്രം
Culinary style	പാചകശൈലി
Chef.	പാചയിതാവ്.
Moss vine	പാചി വള്ളി
Panchajanyam	പാഞ്ചജന്യം
Panchalika	പാഞ്ചാലിക
Course	പാട
Field	പാടം
Field.	പാടം.
പടക്കട്ടി.	പാടക്കട്ടി.
Song tree	പാടല വൃക്ഷം
Songworm	പാടലകീടം
Song color	പാടലവര്ണ്ണം
Singing	പാടലൊപല്‍
പടവം	പാടവം
Patas	പാടസ്
Singing	പാടി
Should not	പാടില്ലാത്ത
Sing	പാടു്‌
Pat	പാട്
Lease	പാട്ട
Leased vessel	പാട്ട പാത്രം
Lease system	പാട്ട സബ്രദായം
Lease	പാട്ടം
Leaseholders	പാട്ടക്കാര്
Lease arrears	പാട്ടക്കുടിശ്ശിക
Lease	പാട്ടപ്പണം
Leased	പാട്ടബാക്കി
Singer	പാട്ടുകാരന്‍
Singer bird	പാട്ടുകാരന്‍ പക്ഷി
Singer	പാട്ടുകാരി
The song	പാട്ട്
Lesson	പാഠം
Textbook	പാഠപുസ്തകം
School	പാഠശാല
Pathanis	പാഠാനികള്‍
Lessons	പാഠാന്മാര്‍
Curriculum	പാഠ്യ പദ്ധതി
Textbook	പാഠ്യഗ്രന്ധം
Curriculum	പാഠ്യപദ്ധതി
Textbook	പാഠ്യപുസ്തകം
Pada	പാഡാ
പാ⁇ ാ	പാഢാ
Pani	പാണി
Pani.	പാണി.
Style	പാണിക
പാണികുർച്ച	പാണികുര്‍ച്ച
പാണിഗൃഹീതി	പാണിഗൃഹീതി
Panini	പാണിനി
പാണിരുഖം	പാണിരുഖം
Drinking	പാണീഗ്രഹണം
Persecution	പാണീപീഡനം
Pond	പാണ്ട്
Pandru	പാണ്ട്രു
Pandaram	പാണ്ഡരം
Pandavas	പാണ്ഡവര്
Scholarship	പാണ്ഡിത്യം
Pandu	പാണ്ഡു
Path	പാത
The criminal	പാതകന്‍
Roadside robbers	പാതയോരകൊള്ളക്കാര്
Underworld Dandy	പാതാള ദന്ദി
Underworld Nellie	പാതാള നെല്ലി
Hades	പാതാളം
Underworld	പാതാളകരണ്ടി
Hades	പാതാളകേതു
The underworld	പാതാളക്കുഴി
Half	പാതി
Owner of half the property	പാതി സ്വത്തിന്റെ ഉടമ
Half a bottle	പാതികുപ്പി
The fox	പാതിരകുറുക്കന്‍
Half-grown land	പാതിവിളയുന്ന ഭൂമി
Half circle	പാതിവൃത്യം
Path	പാത്തി
Pottery market	പാത്ര ചന്ത
Vessel	പാത്രം
Dishwasher	പാത്രം കഴുകുന്ന സ്ഥലം
Soil for pot making	പാത്രം നിര്‍മ്മിക്കുന്നതിനുള്ള  മണ്ണ്
Path	പാഥം
Pathassuh	പാഥസ്സു്‌
Pathology	പാഥേയം
Pathology	പാഥോജം
Pathoruham	പാഥോരുഹം
Foot	പാദം
Foot fracture	പാദം വിണ്ടുകീറല്
Foot.	പാദം.
Foot	പാദക്കുട്
Foot movement	പാദചലനം
പാദജന്	പാദജന്
Foot dust	പാദധുളി
Pada Puja	പാദപൂജ
Foot decoration	പാദഭൂഷണം
Footwear	പാദരക്ഷ
Foot	പാദശരം
Footsteps	പാദസരം
Footsteps.	പാദസരം.
പാദാര്പ്പണം	പാദാര്പ്പണം
Padu	പാദു
Padukka	പാദുക
Footwear	പാദുകം
Footwear	പാദുകാതലം
Pads blast	പാദ്സ്ഫോടനം
Material.	പാദർഥം.
Drinking tree	പാനന മരം
Cup	പാനപാത്രം
Cup.	പാനപാത്രം.
Panaji	പാനാജി
Drink	പാനീയം
Drinking	പാനീയരുഹം
Pantheon	പാന്ഥാവ്
Pants	പാന്റ്
Pan	പാന്‍
Sin	പാപം
Sin	പാപകര്മ്മം
Sin	പാപകര്മ്മംം
The planet of sin	പാപഗ്രഹം
Sin	പാപട
Sin	പാപദം
പാപനാശം	പാപനാശം
Sinfulness	പാപബുദ്ധി
Guilt	പാപബോധം
Forgiveness Ekadashi	പാപമോചക ഏകാദശി
Forgiveness	പാപമോചനം
Sinlessness	പാപരാഹിത്യം
Papasmani	പാപശമനി
Sinner	പാപി
Papaya wood	പാപ്പട മരം
Bankruptcy	പാപ്പരത്തം
Pappan.	പാപ്പാന്.
Pampatti	പാമ്പാട്ടി
Pampatti's pipe	പാമ്പാട്ടിയുടെ കുഴല്
Snakebite	പാമ്പിഞ്ചട്ട
Snake basket	പാമ്പിൻ കുട്ട
Palmer mango	പാമർ മാങ്ങ
Palmer flour	പാമർ മാവ്
Mat	പായ
Mat cloth	പായ തുണി
Algae	പായല്
Algae	പായല്‍
Stew	പായസം
പായി	പായി
പായു	പായു
പായി	പായ്
Packer	പായ്ക്കയര്
Paymar	പായ്മരം
Paymar.	പായ്മരം.
Pantry	പായ്മരമുറി
Payyaliputra	പായ്യലീപുത്രം
The boat	പായ്വള്ളം
Para	പാര
Parachute	പാരച്യൂട്ട്
Parody	പാരടി
പാരണ	പാരണ
Tradition	പാരതന്ത്ര്യം
Tradition	പാരമ്പര്യം
Traditional	പാരമ്പര്യമായിട്ടുള്ളവന്
Conservative	പാരമ്പര്യവാദി
Inheritance	പാരമ്പര്യസ്ഥാനം
Inheritance	പാരമ്പര്യാവകാശം
Parasa Money	പാരസ മണി
Paramaribo	പാരാമാരിബോ
Parameter	പാരാമീറ്റര്
Recitation	പാരായണം
Pigeon	പാരാവാരം
Parijata tree	പാരിജാത വൃക്ഷം
Parijat	പാരിജാതം
പാരിടം	പാരിടം
Reward	പാരിതോഷികം
Reward.	പാരിതോഷികം.
Paradise Island	പാരിദ്വീപൻ
Parindran	പാരിന്ദ്രന്
Paripanthikan	പാരിപന്ഥികന്‍
Translation	പാരിഭാഷികം
Excellence	പാരിമാണ്യം
Paris	പാരീസ്
Parkinson's	പാര്ക്കിന്സന്
Park	പാര്ക്ക്
Parknaw	പാര്ക്ന‌
